Candidate - Website,# of entries,# of sites outside the host,# of Tracking entries,Tracking rules urls,# of POST requests,# of potential tracking pixels
Abdirizak Hadi - http://hadi4ward9.com/,47,2,0,,0,0
Abed Harb - http://voteharb.ca/,104,24,48,www.googletagmanager.com/gtag/js&&p.typekit.net/p.css&&cdn.embedly.com/widgets/media.html&&use.typekit.net/af/4838bd/00000000000000003b9b0934/27/l&&ka-f.fontawesome.com/releases/v5.15.4/css/free.min.css&&use.typekit.net/af/71f83c/00000000000000003b9b093b/27/l&&use.typekit.net/af/86b539/00000000000000003b9b093a/27/l&&use.typekit.net/af/6aec08/00000000000000003b9b0935/27/l&&p.typekit.net/p.gif&&www.youtube.com/iframe_api&&www.youtube.com/embed/&&www.google-analytics.com/analytics.js&&fonts.gstatic.com/s/roboto/v18/KFOmCnqEu92Fr1Mu4mxK.woff2&&www.google-analytics.com/j/collect&&platform.twitter.com/widgets.js&&syndication.twitter.com/settings&&googleads.g.doubleclick.net/pagead/id&&www.google.com/&&connect.facebook.net/en_US/sdk.js&&apis.google.com/js/plusone.js&&www.facebook.com/x/oauth/status&&www.youtube.com/generate_204&&www.youtube.com/youtubei/v1/log_event&&static.doubleclick.net/instream/ad_status.js&&,4,1
Anand James Chetty - http://anandchetty.ca/,2,0,0,,0,0
Andre Chabot - http://andrechabot.ca/,19,3,3,fonts.gstatic.com/s/lato/v20/S6uyw4BMUTPHjx4wXg.woff2&&fonts.gstatic.com/s/poppins/v15/pxiByp8kv8JHgFVrLEj6Z1xlFQ.woff2&&fonts.gstatic.com/s/poppins/v15/pxiByp8kv8JHgFVrLCz7Z1xlFQ.woff2&&,1,0
Andrea Hinton - http://hintonward14.com/,47,4,13,static.parastorage.com/unpkg/lodash@4.17.21/lodash.min.js&&static.parastorage.com/unpkg/react@16.13.1/umd/react.production.min.js&&frog.wix.com/bolt-performance&&siteassets.parastorage.com/pages/pages/thunderbolt&&static.parastorage.com/services/tag-manager-client/1.427.0/siteTags.bundle.min.js&&frog.wix.com/bt&&static.parastorage.com/unpkg/react-dom@16.13.1/umd/react-dom.production.min.js&&static.parastorage.com/services/third-party/fonts/user-site-fonts/fonts/bc176270-17fa-4c78-a343-9fe52824e501.woff&&frog.wix.com/site-members&&static.parastorage.com/services/wix-thunderbolt/dist/activePopup.b727980a.chunk.min.js&&,5,0
Angela McIntyre - http://mcintyreward4.com/,68,21,20,m.addthis.com/live/red_lojson/100eng.json&&cdnjs.cloudflare.com/ajax/libs/object-fit-images/3.2.4/ofi.min.js&&cdnjs.cloudflare.com/ajax/libs/popper.js/1.16.0/umd/popper.min.js&&apis.google.com/js/plusone.js&&fonts.gstatic.com/s/lato/v20/S6uyw4BMUTPHjx4wXg.woff2&&fonts.gstatic.com/s/montserrat/v18/JTURjIg1_i6t8kCHKm45_dJE3gnD_g.woff2&&cdn.embedly.com/widgets/media.html&&fonts.gstatic.com/s/montserrat/v18/JTUSjIg1_i6t8kCHKm459Wlhyw.woff2&&www.youtube.com/iframe_api&&www.youtube.com/embed/&&platform.twitter.com/widgets.js&&connect.facebook.net/en_US/sdk.js&&syndication.twitter.com/settings&&www.facebook.com/x/oauth/status&&googleads.g.doubleclick.net/pagead/id&&fonts.gstatic.com/s/roboto/v18/KFOmCnqEu92Fr1Mu4mxK.woff2&&www.google.com/&&static.doubleclick.net/instream/ad_status.js&&,1,1
Anton Ovtchinnikov - http://justantonforward14.ca/,38,4,19,img1.wsimg.com/tcc/tcc_l.combined.1.0.6.min.js&&img1.wsimg.com/traffic-assets/js/tccl-tti.min.js&&img1.wsimg.com/blobby/go/static/radpack/@widget/MESSAGING/bs-Component-f9246098.js&&img1.wsimg.com/blobby/go/static/radpack/@widget/LAYOUT/c/bs-_rollupPluginBabelHelpers-5d5d5aa3.js&&img1.wsimg.com/blobby/go/static/radpack/@widget/LAYOUT/c/bs-defaultSocialIconPack-91835b99.js&&img1.wsimg.com/blobby/go/static/radpack/@widget/LAYOUT/c/bs-index-d15d4cb0.js&&fonts.gstatic.com/s/sourcesanspro/v14/6xK3dSBYKcSV-LCoeQqfX1RYOo3qOK7l.woff2&&img1.wsimg.com/blobby/go/static/radpack/@widget/LAYOUT/c/bs-legacyOverrides-17961cd1.js&&img6.wsimg.com/wrhs/ce554d2333f3801abafb32da18213ff7/tti.min.js&&img1.wsimg.com/blobby/go/static/radpack/@wsb/guac-widget-shared/lib/common/constants/form/formIdentifiers-8d1eb835.js&&img1.wsimg.com/blobby/go/static/radpack/@wsb/guac-widget-shared/lib/common/constants/traffic2-f4096148.js&&img1.wsimg.com/blobby/go/static/radpack/@wsb/guac-widget-shared/lib/components/Recaptcha/badge-a479b038.js&&img1.wsimg.com/blobby/go/static/radpack/@widget/LAYOUT/c/bs-dataAids-4d259af9.js&&img1.wsimg.com/blobby/go/static/radpack/@widget/LAYOUT/c/bs-headerTreatments-a106371b.js&&img1.wsimg.com/blobby/go/static/radpack/@widget/LAYOUT/c/bs-index2-2e33be4b.js&&img1.wsimg.com/blobby/go/static/radpack/@widget/LAYOUT/c/bs-overlayTypes-b92c35a1.js&&img1.wsimg.com/blobby/go/static/radpack/@widget/LAYOUT/c/bs-searchFormLocations-c86f2a99.js&&fonts.gstatic.com/s/sourcesanspro/v14/6xKydSBYKcSV-LCoeQqfX1RYOo3ig4vwlxdu.woff2&&fonts.gstatic.com/s/sourcesanspro/v14/6xK1dSBYKcSV-LCoeQqfX1RYOo3qPZ7nsDI.woff2&&,0,2
Aryan Sadat - http://electsadat.com/,181,27,75,www.youtube.com/api/stats/atr&&pixel.wp.com/boom.gif&&frog.wix.com/bolt-performance&&static.parastorage.com/unpkg/react@16.13.1/umd/react.production.min.js&&static.parastorage.com/unpkg/react-dom@16.13.1/umd/react-dom.production.min.js&&frog.wix.com/bt&&static.parastorage.com/services/third-party/fonts/Helvetica/Fonts/60be5c39-863e-40cb-9434-6ebafb62ab2b.woff&&static.parastorage.com/unpkg/lodash@4.17.21/lodash.min.js&&fonts.gstatic.com/s/montserrat/v14/JTUSjIg1_i6t8kCHKm459WlhyyTh89Y.woff2&&siteassets.parastorage.com/pages/pages/thunderbolt&&static.parastorage.com/services/third-party/fonts/user-site-fonts/fonts/8bf38806-3423-4080-b38f-d08542f7e4ac.woff2&&static.parastorage.com/services/tag-manager-client/1.427.0/siteTags.bundle.min.js&&static.parastorage.com/services/wix-thunderbolt/dist/tpaWorkerFeature.e6f852f3.chunk.min.js&&frog.wix.com/site-members&&static.parastorage.com/services/wix-thunderbolt/dist/activePopup.b727980a.chunk.min.js&&static.parastorage.com/services/wix-thunderbolt/dist/ooiTpaSharedConfig.2f6d1ded.chunk.min.js&&static.parastorage.com/services/wix-thunderbolt/dist/sosp.a216a77b.chunk.min.js&&static.parastorage.com/unpkg/requirejs-bolt@2.3.6/requirejs.min.js&&www.googletagmanager.com/gtag/js&&frog.wix.com/bpm&&frog.wix.com/ugc-viewer&&frog.wix.com/pa&&www.youtube.com/iframe_api&&static.parastorage.com/services/wix-thunderbolt/dist/TPAWorker.79a7c141.chunk.min.js&&www.youtube.com/embed/&&fonts.gstatic.com/s/roboto/v18/KFOmCnqEu92Fr1Mu4mxK.woff2&&www.google-analytics.com/analytics.js&&www.google-analytics.com/j/collect&&www.google.com/&&static.doubleclick.net/instream/ad_status.js&&www.youtube.com/youtubei/v1/player&&static.parastorage.com/services/js-sdk/1.537.0/js/wix.min.js&&www.google-analytics.com/&&www.youtube.com/generate_204&&googleads.g.doubleclick.net/pagead/id&&analytics.sitewit.com/images/cq_blank.gif&&static.parastorage.com/services/js-sdk/1.425.0/js/wix.min.js&&static.parastorage.com/services/santa-resources/resources/viewer/user-site-fonts/v15/languages-woff2.css&&static.parastorage.com/unpkg/focus-visible@4.1.1/dist/focus-visible.min.js&&www.youtube.com/api/stats/qoe&&www.youtube.com/youtubei/v1/next&&loadbalancer.visitor-analytics.io/worker&&www.youtube.com/youtubei/v1/log_event&&cdnjs.cloudflare.com/ajax/libs/fingerprintjs2/2.1.0/fingerprint2.min.js&&cdn.jsdelivr.net/npm/js-md5@0.7.2/src/md5.min.js&&,33,1
Benjamin Shepherd - http://benjaminshepherd.ca/,22,7,4,assets.squarespace.com/@sqs/polyfiller/1.2.2/modern.js&&use.typekit.net/af/829fc1/00000000000000003b9acaf8/27/l&&fonts.gstatic.com/s/poppins/v15/pxiByp8kv8JHgFVrLCz7Z1xlFQ.woff2&&p.typekit.net/p.gif&&,1,1
Brent Trenholm - http://brenttrenholm.ca/,117,6,7,www.googletagmanager.com/gtag/js&&maxcdn.bootstrapcdn.com/font-awesome/4.7.0/css/font-awesome.min.css&&static.addtoany.com/menu/page.js&&static.addtoany.com/menu/sm.23.html&&www.google-analytics.com/analytics.js&&www.google-analytics.com/plugins/ua/linkid.js&&www.google-analytics.com/j/collect&&,1,0
